Starting session: experiment_mix_2_noise0.10_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01', 'P02']
Trade: time=479.48, price=175, party1=B00, party2=S08
Trade: time=483.61, price=146, party1=B04, party2=S03
Trade: time=485.00, price=194, party1=P01, party2=B04
Trade: time=485.17, price=159, party1=B00, party2=S04
Trade: time=491.22, price=174, party1=S07, party2=B01
Trade: time=496.30, price=166, party1=B06, party2=S03
Trade: time=498.61, price=175, party1=B04, party2=S09
Trade: time=500.17, price=159, party1=S07, party2=B09
Trade: time=502.78, price=194, party1=P01, party2=B05
Trade: time=503.74, price=172, party1=B07, party2=S06
Trade: time=506.61, price=167, party1=B01, party2=S05
Trade: time=509.17, price=170, party1=B07, party2=S05
Trade: time=510.22, price=191, party1=S00, party2=B02
Trade: time=513.87, price=168, party1=B07, party2=S01
Trade: time=517.91, price=188, party1=B05, party2=S01
Trade: time=520.74, price=178, party1=B05, party2=S02
Trade: time=528.74, price=175, party1=S09, party2=B02
Trade: time=533.61, price=194, party1=P01, party2=B02
Trade: time=536.57, price=129, party1=S05, party2=B09
Trade: time=537.30, price=179, party1=S07, party2=B03
Trade: time=544.22, price=174, party1=S08, party2=B09
Trade: time=547.30, price=173, party1=S06, party2=B04
Trade: time=552.09, price=194, party1=P01, party2=B03
Trade: time=553.00, price=178, party1=B07, party2=S00
Trade: time=554.70, price=145, party1=B06, party2=S04
Trade: time=555.35, price=158, party1=B02, party2=S01
Trade: time=561.30, price=184, party1=B00, party2=S04
Trade: time=565.26, price=157, party1=B00, party2=S00
Trade: time=570.48, price=156, party1=B00, party2=S05
Trade: time=573.26, price=157, party1=B02, party2=S02
Trade: time=576.30, price=154, party1=B06, party2=S09
Trade: time=578.91, price=155, party1=S04, party2=B02
Trade: time=581.96, price=194, party1=P01, party2=B06
Trade: time=586.04, price=189, party1=B04, party2=S07
Trade: time=590.87, price=174, party1=B07, party2=S08
Trade: time=594.35, price=181, party1=S03, party2=B06
Trade: time=595.22, price=190, party1=B00, party2=S04
Trade: time=597.57, price=159, party1=S01, party2=B06
Trade: time=604.48, price=158, party1=S04, party2=B09
Trade: time=605.17, price=173, party1=S06, party2=B03
Trade: time=609.22, price=156, party1=B00, party2=S06
Trade: time=617.74, price=162, party1=S06, party2=B04
Trade: time=617.83, price=154, party1=B02, party2=S02
Trade: time=624.43, price=143, party1=S01, party2=B08
Trade: time=624.96, price=175, party1=B03, party2=S02
Trade: time=626.17, price=162, party1=S01, party2=B09
Trade: time=627.39, price=194, party1=P01, party2=B05
Trade: time=637.13, price=174, party1=B05, party2=S08
Trade: time=637.43, price=163, party1=B03, party2=S07
Trade: time=641.04, price=173, party1=S05, party2=B08
Trade: time=641.13, price=164, party1=B04, party2=S03
Trade: time=641.70, price=176, party1=S00, party2=B02
Trade: time=643.26, price=156, party1=S04, party2=B08
Trade: time=643.74, price=141, party1=S00, party2=B04
Trade: time=648.13, price=174, party1=S01, party2=B07
Trade: time=650.04, price=168, party1=S07, party2=B00
Trade: time=650.96, price=170, party1=B05, party2=S06
Trade: time=654.43, price=162, party1=B09, party2=S02
Trade: time=656.48, price=171, party1=B06, party2=S03
Trade: time=659.52, price=190, party1=B08, party2=S09
Trade: time=660.00, price=158, party1=B02, party2=S05
Trade: time=664.83, price=157, party1=S09, party2=B01
Trade: time=670.83, price=163, party1=B09, party2=S06
Trade: time=672.17, price=194, party1=P01, party2=B00
Trade: time=674.22, price=136, party1=S07, party2=B03
Trade: time=676.52, price=128, party1=S01, party2=B05
Trade: time=681.57, price=154, party1=B08, party2=S00
Trade: time=683.83, price=170, party1=S02, party2=B00
Trade: time=685.74, price=194, party1=P01, party2=B06
Trade: time=687.61, price=145, party1=S04, party2=B01
Trade: time=688.87, price=191, party1=B08, party2=S09
Trade: time=690.83, price=166, party1=B09, party2=S01
Trade: time=693.17, price=181, party1=B08, party2=S03
Trade: time=693.30, price=170, party1=B06, party2=S01
Trade: time=698.87, price=194, party1=P01, party2=B04
Trade: time=702.26, price=175, party1=S06, party2=B01
Trade: time=703.04, price=141, party1=S02, party2=B05
Trade: time=703.52, price=168, party1=S05, party2=B07
Trade: time=704.30, price=167, party1=S04, party2=B04
Trade: time=705.26, price=172, party1=S07, party2=B09
Trade: time=713.61, price=178, party1=B03, party2=S05
Trade: time=715.70, price=191, party1=B07, party2=S03
Trade: time=720.00, price=186, party1=S01, party2=B04
Trade: time=720.04, price=167, party1=B08, party2=S05
Trade: time=723.74, price=158, party1=S07, party2=B09
Trade: time=724.43, price=175, party1=S04, party2=B04
Trade: time=726.83, price=153, party1=S02, party2=B00
Trade: time=731.52, price=147, party1=S07, party2=B05
Trade: time=734.39, price=182, party1=B02, party2=S09
