Starting session: baseline_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=136.91, price=149, party1=S07, party2=B00
Trade: time=137.09, price=164, party1=S05, party2=B08
Trade: time=137.32, price=166, party1=S01, party2=B06
Trade: time=137.64, price=164, party1=S00, party2=B04
Trade: time=139.18, price=160, party1=S05, party2=B07
Trade: time=139.82, price=170, party1=S09, party2=B07
Trade: time=140.55, price=169, party1=B03, party2=S03
Trade: time=141.00, price=163, party1=S04, party2=B02
Trade: time=141.73, price=171, party1=B09, party2=S08
Trade: time=142.27, price=174, party1=S09, party2=B05
Trade: time=142.45, price=170, party1=B01, party2=S06
Trade: time=144.00, price=173, party1=S07, party2=B05
Trade: time=144.18, price=169, party1=B02, party2=S02
Trade: time=144.36, price=162, party1=S01, party2=B04
Trade: time=145.18, price=175, party1=B07, party2=S00
Trade: time=146.09, price=162, party1=B06, party2=S05
Trade: time=148.14, price=166, party1=S09, party2=B01
Trade: time=148.77, price=174, party1=S01, party2=B08
Trade: time=149.14, price=172, party1=S04, party2=B02
Trade: time=150.50, price=165, party1=S05, party2=B09
Trade: time=150.91, price=150, party1=S06, party2=B03
Trade: time=151.18, price=167, party1=S02, party2=B00
Trade: time=151.73, price=162, party1=S01, party2=B06
Trade: time=152.50, price=158, party1=B03, party2=S08
Trade: time=153.23, price=166, party1=B05, party2=S00
Trade: time=156.27, price=168, party1=B07, party2=S05
Trade: time=157.09, price=166, party1=B00, party2=S01
Trade: time=157.18, price=179, party1=S09, party2=B01
Trade: time=158.91, price=167, party1=S03, party2=B00
Trade: time=159.32, price=168, party1=B07, party2=S08
Trade: time=159.82, price=161, party1=B08, party2=S02
Trade: time=163.23, price=173, party1=S05, party2=B04
Trade: time=163.41, price=177, party1=S03, party2=B08
Trade: time=164.23, price=174, party1=B09, party2=S02
Trade: time=164.27, price=165, party1=B01, party2=S01
Trade: time=165.32, price=175, party1=S09, party2=B05
Trade: time=165.73, price=163, party1=B03, party2=S04
Trade: time=167.23, price=170, party1=S06, party2=B02
Trade: time=167.64, price=160, party1=B00, party2=S08
Trade: time=169.82, price=168, party1=S07, party2=B04
Trade: time=170.05, price=161, party1=B07, party2=S02
Trade: time=170.14, price=161, party1=S05, party2=B00
Trade: time=171.32, price=165, party1=S03, party2=B05
Trade: time=171.91, price=162, party1=B02, party2=S08
Trade: time=172.86, price=157, party1=B09, party2=S09
Trade: time=173.00, price=167, party1=S03, party2=B03
Trade: time=173.68, price=161, party1=S06, party2=B01
Trade: time=175.00, price=167, party1=B04, party2=S01
Trade: time=175.91, price=166, party1=S09, party2=B08
Trade: time=176.68, price=159, party1=B09, party2=S02
Trade: time=177.95, price=158, party1=S00, party2=B06
Trade: time=178.00, price=158, party1=S02, party2=B07
Trade: time=178.05, price=157, party1=B05, party2=S07
Trade: time=178.91, price=147, party1=B08, party2=S09
Trade: time=179.86, price=166, party1=S00, party2=B00
Trade: time=182.77, price=170, party1=S03, party2=B08
Trade: time=183.05, price=166, party1=S05, party2=B05
Trade: time=183.86, price=159, party1=B06, party2=S02
Trade: time=184.00, price=159, party1=B02, party2=S01
Trade: time=185.36, price=164, party1=S04, party2=B09
Trade: time=185.73, price=165, party1=S05, party2=B03
Trade: time=186.27, price=171, party1=B04, party2=S00
Trade: time=188.27, price=157, party1=B00, party2=S03
Trade: time=188.45, price=162, party1=B03, party2=S09
Trade: time=189.18, price=178, party1=B05, party2=S04
Trade: time=189.73, price=169, party1=S05, party2=B06
Trade: time=190.91, price=160, party1=B08, party2=S01
Trade: time=192.09, price=172, party1=B09, party2=S03
Trade: time=193.09, price=168, party1=B02, party2=S00
Trade: time=194.05, price=168, party1=B06, party2=S08
Trade: time=194.73, price=172, party1=B09, party2=S05
Trade: time=194.82, price=167, party1=B07, party2=S02
Trade: time=195.59, price=165, party1=S06, party2=B01
Trade: time=196.32, price=164, party1=B02, party2=S03
Trade: time=197.09, price=164, party1=B04, party2=S08
Trade: time=197.18, price=163, party1=B00, party2=S01
Trade: time=198.18, price=149, party1=B01, party2=S05
Trade: time=198.36, price=159, party1=S04, party2=B06
Trade: time=199.41, price=151, party1=S09, party2=B03
Trade: time=199.68, price=155, party1=S06, party2=B07
Trade: time=200.68, price=157, party1=S08, party2=B02
Trade: time=201.45, price=152, party1=S00, party2=B08
Trade: time=202.50, price=158, party1=S07, party2=B03
Trade: time=204.09, price=168, party1=S02, party2=B09
Trade: time=204.41, price=170, party1=B04, party2=S03
Trade: time=204.55, price=167, party1=B02, party2=S01
Trade: time=205.05, price=176, party1=B01, party2=S08
Trade: time=205.36, price=167, party1=B05, party2=S09
Trade: time=205.41, price=166, party1=B06, party2=S00
Trade: time=205.73, price=163, party1=B08, party2=S06
Trade: time=207.23, price=173, party1=S02, party2=B03
Trade: time=209.32, price=148, party1=B00, party2=S04
Trade: time=211.05, price=172, party1=S08, party2=B04
Trade: time=211.59, price=171, party1=S07, party2=B02
Trade: time=211.86, price=166, party1=B09, party2=S01
Trade: time=211.91, price=164, party1=B01, party2=S04
Trade: time=212.77, price=173, party1=S02, party2=B05
Trade: time=213.00, price=162, party1=B03, party2=S00
Trade: time=213.68, price=165, party1=B09, party2=S09
Trade: time=214.18, price=165, party1=S01, party2=B01
Trade: time=214.36, price=162, party1=B02, party2=S05
Trade: time=216.23, price=156, party1=B06, party2=S08
Trade: time=216.45, price=171, party1=S00, party2=B04
Trade: time=217.00, price=170, party1=S05, party2=B00
Trade: time=217.95, price=169, party1=B08, party2=S02
Trade: time=219.00, price=178, party1=S04, party2=B06
Trade: time=219.50, price=164, party1=B03, party2=S07
Trade: time=221.05, price=171, party1=B07, party2=S04
Trade: time=221.27, price=170, party1=B01, party2=S00
Trade: time=221.64, price=161, party1=B08, party2=S09
Trade: time=223.00, price=169, party1=S06, party2=B03
Trade: time=223.64, price=166, party1=B04, party2=S03
Trade: time=224.86, price=158, party1=S07, party2=B02
Trade: time=225.14, price=168, party1=S08, party2=B09
Trade: time=225.32, price=156, party1=B07, party2=S09
Trade: time=225.50, price=170, party1=S02, party2=B04
Trade: time=225.91, price=150, party1=S00, party2=B00
Trade: time=227.05, price=174, party1=S01, party2=B03
Trade: time=228.86, price=158, party1=S05, party2=B06
Trade: time=229.05, price=159, party1=S09, party2=B09
Trade: time=230.50, price=162, party1=S04, party2=B00
Trade: time=231.05, price=159, party1=B08, party2=S08
Trade: time=233.05, price=157, party1=B01, party2=S06
Trade: time=235.23, price=159, party1=S09, party2=B02
Trade: time=235.64, price=169, party1=S02, party2=B03
Trade: time=235.77, price=171, party1=S05, party2=B06
Trade: time=236.14, price=175, party1=S00, party2=B00
Trade: time=237.41, price=163, party1=B02, party2=S01
Trade: time=237.86, price=183, party1=B03, party2=S05
Trade: time=238.27, price=170, party1=S07, party2=B09
Trade: time=238.41, price=159, party1=B01, party2=S02
Trade: time=238.86, price=163, party1=S01, party2=B07
Trade: time=239.18, price=164, party1=S08, party2=B02
Trade: time=240.00, price=163, party1=B08, party2=S06
Trade: time=240.86, price=147, party1=B04, party2=S00
Trade: time=241.41, price=162, party1=S03, party2=B05
Trade: time=243.59, price=164, party1=S07, party2=B01
Trade: time=245.45, price=155, party1=S02, party2=B00
Trade: time=247.36, price=163, party1=S06, party2=B06
Trade: time=248.05, price=162, party1=B09, party2=S03
Trade: time=249.32, price=158, party1=B07, party2=S08
Trade: time=249.45, price=159, party1=S05, party2=B04
Trade: time=250.77, price=176, party1=S02, party2=B05
Trade: time=251.00, price=169, party1=B03, party2=S04
Trade: time=251.23, price=164, party1=B01, party2=S08
