Starting session: baseline_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=758.36, price=186, party1=B07, party2=S08
Trade: time=767.77, price=184, party1=B05, party2=S06
Trade: time=771.00, price=162, party1=B06, party2=S00
Trade: time=776.55, price=171, party1=S09, party2=B02
Trade: time=776.77, price=170, party1=B05, party2=S05
Trade: time=785.68, price=175, party1=B06, party2=S00
Trade: time=787.73, price=178, party1=B08, party2=S06
Trade: time=789.45, price=169, party1=S03, party2=B07
Trade: time=806.73, price=161, party1=B05, party2=S01
Trade: time=809.45, price=150, party1=S02, party2=B05
Trade: time=816.68, price=148, party1=S01, party2=B08
Trade: time=821.82, price=146, party1=S03, party2=B05
Trade: time=824.36, price=174, party1=B01, party2=S02
Trade: time=827.59, price=163, party1=S05, party2=B03
Trade: time=830.55, price=167, party1=S00, party2=B03
Trade: time=834.91, price=166, party1=S01, party2=B04
Trade: time=836.23, price=147, party1=S00, party2=B01
Trade: time=843.00, price=155, party1=B05, party2=S07
Trade: time=844.50, price=153, party1=S06, party2=B00
Trade: time=856.09, price=170, party1=S03, party2=B09
Trade: time=858.73, price=163, party1=B04, party2=S03
Trade: time=862.32, price=164, party1=B01, party2=S02
Trade: time=868.55, price=163, party1=B08, party2=S00
Trade: time=875.32, price=187, party1=B07, party2=S01
Trade: time=875.64, price=179, party1=B06, party2=S03
Trade: time=881.00, price=150, party1=S02, party2=B07
Trade: time=883.95, price=153, party1=S09, party2=B01
Trade: time=887.86, price=176, party1=B04, party2=S06
Trade: time=889.68, price=156, party1=S02, party2=B02
Trade: time=891.73, price=159, party1=S04, party2=B05
Trade: time=898.73, price=182, party1=B09, party2=S07
Trade: time=899.27, price=161, party1=S08, party2=B06
Trade: time=919.14, price=164, party1=S01, party2=B09
Trade: time=919.91, price=165, party1=S06, party2=B04
Trade: time=923.32, price=163, party1=S01, party2=B09
Trade: time=924.09, price=171, party1=B03, party2=S00
Trade: time=937.23, price=183, party1=B09, party2=S00
Trade: time=945.73, price=161, party1=S06, party2=B07
Trade: time=965.55, price=175, party1=B09, party2=S00
Trade: time=974.32, price=174, party1=S09, party2=B01
Trade: time=979.27, price=184, party1=S05, party2=B00
Trade: time=984.14, price=182, party1=B00, party2=S03
Trade: time=988.82, price=165, party1=B06, party2=S06
Trade: time=990.45, price=182, party1=S02, party2=B02
Trade: time=991.59, price=169, party1=B01, party2=S01
Trade: time=992.95, price=169, party1=S05, party2=B07
Trade: time=995.32, price=172, party1=B01, party2=S02
Trade: time=1001.18, price=179, party1=S02, party2=B06
Trade: time=1006.73, price=170, party1=S07, party2=B01
Trade: time=1015.00, price=185, party1=B02, party2=S06
Trade: time=1026.23, price=163, party1=B00, party2=S03
Trade: time=1036.09, price=167, party1=B00, party2=S02
Trade: time=1042.27, price=155, party1=B07, party2=S00
Trade: time=1042.82, price=167, party1=S07, party2=B02
Trade: time=1056.68, price=178, party1=S01, party2=B05
Trade: time=1060.59, price=154, party1=B01, party2=S09
Trade: time=1063.27, price=169, party1=B04, party2=S03
Trade: time=1064.55, price=159, party1=S00, party2=B00
Trade: time=1066.32, price=158, party1=S09, party2=B08
Trade: time=1070.23, price=164, party1=S06, party2=B04
Trade: time=1070.64, price=169, party1=S07, party2=B08
Trade: time=1079.23, price=172, party1=B04, party2=S00
Trade: time=1083.32, price=148, party1=S03, party2=B01
Trade: time=1092.09, price=167, party1=B05, party2=S02
Trade: time=1093.32, price=160, party1=S05, party2=B01
Trade: time=1094.82, price=153, party1=S08, party2=B04
Trade: time=1095.14, price=162, party1=S00, party2=B08
Trade: time=1100.64, price=156, party1=S08, party2=B03
Trade: time=1106.59, price=179, party1=B07, party2=S08
Trade: time=1107.00, price=168, party1=B03, party2=S03
