Starting session: experiment_mix_1_noise0.00_trial0000
Traders: ['B00', 'B01', 'B02', 'B03', 'B04', 'B05', 'B06', 'B07', 'B08', 'B09', 'S00', 'S01', 'S02', 'S03', 'S04', 'S05', 'S06', 'S07', 'S08', 'S09', 'P00', 'P01']
Trade: time=1225.59, price=176, party1=B06, party2=S08
Trade: time=1225.82, price=171, party1=B00, party2=S01
Trade: time=1230.82, price=173, party1=B05, party2=S02
Trade: time=1235.95, price=176, party1=B01, party2=S04
Trade: time=1236.50, price=162, party1=S03, party2=B08
Trade: time=1239.86, price=170, party1=B05, party2=S00
Trade: time=1244.45, price=179, party1=B01, party2=S01
Trade: time=1245.36, price=163, party1=B08, party2=S08
Trade: time=1251.27, price=169, party1=B02, party2=S04
Trade: time=1254.36, price=181, party1=P00, party2=B01
Trade: time=1255.91, price=166, party1=B00, party2=S09
Trade: time=1263.55, price=180, party1=B04, party2=S02
Trade: time=1265.36, price=163, party1=B05, party2=S08
Trade: time=1267.59, price=166, party1=B00, party2=S01
Trade: time=1268.77, price=152, party1=B07, party2=S05
Trade: time=1269.91, price=163, party1=S01, party2=B00
Trade: time=1271.09, price=162, party1=S04, party2=B08
Trade: time=1272.73, price=158, party1=B05, party2=S07
Trade: time=1277.23, price=161, party1=B09, party2=S02
Trade: time=1280.36, price=178, party1=S04, party2=B03
Trade: time=1280.91, price=154, party1=B00, party2=S03
Trade: time=1284.09, price=157, party1=S07, party2=B05
Trade: time=1298.59, price=159, party1=S08, party2=B05
Trade: time=1299.68, price=178, party1=S04, party2=B09
Trade: time=1302.14, price=176, party1=S09, party2=B07
Trade: time=1305.82, price=177, party1=B08, party2=S02
Trade: time=1311.18, price=172, party1=B06, party2=S00
Trade: time=1313.55, price=164, party1=S08, party2=B08
Trade: time=1321.27, price=163, party1=B01, party2=S09
Trade: time=1324.77, price=160, party1=S02, party2=B01
Trade: time=1327.45, price=169, party1=S08, party2=B00
Trade: time=1339.09, price=167, party1=B04, party2=S07
Trade: time=1347.00, price=164, party1=B03, party2=S09
Trade: time=1349.82, price=172, party1=B03, party2=S08
Trade: time=1351.73, price=160, party1=S03, party2=B08
Trade: time=1357.18, price=174, party1=B04, party2=S03
Trade: time=1358.86, price=166, party1=B05, party2=S04
Trade: time=1367.36, price=163, party1=B08, party2=S08
Trade: time=1367.50, price=148, party1=B05, party2=S09
Trade: time=1368.41, price=153, party1=B03, party2=S05
Trade: time=1371.05, price=162, party1=S03, party2=B02
Trade: time=1371.82, price=175, party1=S00, party2=B04
Trade: time=1371.91, price=160, party1=B05, party2=S05
Trade: time=1375.32, price=156, party1=B09, party2=S06
